ObjectID,UpdatedDate,YearAppointed,YearLeftOffice,Name,FullDescription,Source,Wikipedia
2558,8/21/2015 15:24,1897,1899,Moses Alexander ,"Moses Alexander was born in Obrigheim, Bavaria on November 13th, 1853, and immigrated to the United States in 1868 at the age of 15. He moved to Boise in 1891 at 38, where he opened a men's clothing store on 9th and Main. He served as mayor from 1897-1899, and 1901-1903, and went on to become the first Jewish governor of Idaho during World War I.","Sources: Idaho State Historical Society,  13th Annual Report, ""Moses Alexander Collection,""  Ethnic Landmarks: Ten Historic Places that Define the City of Trees by Todd Shallat, and Boise: An Illustrated History, by Merle Wells and Arthur Hart.",https://en.wikipedia.org/wiki/Moses_Alexander
2559,8/21/2015 15:24,1899,1901,J.H. Richards,"James Richards was born in Ohio on May 5, 1852. He practiced law in Colorado, came to Boise in 1889 and helped to promote and construct the Payette ditch. He also organized the Payette Valley bank and the Payette Land and Improvement Company. Richards served as a county commissioner in Canyon County for one term. In 1894 Richards was elected judge of the Third District of Idaho. After two years he resigned and began practicing law in Boise. He was elected mayor of Boise in 1899 and served until 1901. He died in1936.",Source: Idaho Daily Statesman. Photo courtesy of the Idaho State Historical Society,https://en.wikipedia.org/wiki/J._H._Richards
2560,8/21/2015 15:24,1901,1903, Moses Alexander,"Moses Alexander was born in Obrigheim, Bavaria on November 13th, 1853, and immigrated to the United States in 1868 at the age of 15. He moved to Boise in 1891 at 38, where he opened a men's clothing store on 9th and Main. He served as mayor from 1897-1899, and 1901-1903, and went on to become the first Jewish governor of Idaho during World War I.","Sources: Idaho State Historical Society,  13th Annual Report, ""Moses Alexander Collection,""  Ethnic Landmarks: Ten Historic Places that Define the City of Trees by Todd Shallat, and Boise: An Illustrated History, by Merle Wells and Arthur Hart.",https://en.wikipedia.org/wiki/Moses_Alexander
2561,8/21/2015 15:24,1903,1905,James H. Hawley,"James Hawley was born in Dubuque, Iowa on January 17, 1847. When he was 14, he went to California with an uncle to mine for gold. In 1863 Hawley moved to Placerville, ID to mine. A year later he returned to California for school, but returned to Idaho in 1868 to practice law. He settled in Boise in 1886, still practicing law and mining. Hawley held several political offices throughout the state of Idaho, including being a Boise County commissioner and the United States District Attorney for Idaho. He served as mayor of Boise from 1903 to 1905, and as the governor of Idaho from 1911 to 1913. One of the notable changes that Hawley initiated while he was mayor of Boise was to end the volunteer fire department and replace it with a paid fire department. Hawley died on August 3, 1929.","Source: Who's Who for Idaho, The Idaho Statesman.",https://en.wikipedia.org/wiki/James_H._Hawley
2562,8/21/2015 15:24,1905,1907,James Pinney,"James Pinney was born in Franklin County, Ohio on September 29, 1835. By 1850, Pinney moved to California for the Gold Rush, and came to Idaho in 1862, ending up in the Boise Basin. He became a merchant in Idaho City, and in 1873 moved to Boise permanently to operate his bookstore on Main Street. Pinney built the Columbia Theater in 1892, and after it was razed, built the Pinney Theater, which opened in 1908. He served three times as mayor of Boise (1881-1885, 1889-1893, 1905-1907). During his various times in office, the Morris Hill Cemetery was purchased, the toll bridge on 9th Street was bought and the tolls stopped, the City Hall on the corner of 8th and Idaho was built, and one of the first sewer systems in the city was put in.",Source: The Founding Fathers of Idaho and The Idaho Statesman.,https://en.wikipedia.org/wiki/James_A._Pinney
2563,8/21/2015 15:24,1907,1909,John Haines ,"John Haines was born in Iowa on January 1st, 1863. When he came to Boise he started work at W. E. Pierce & Co., a real estate company. Haines became the mayor of Boise during 1907 and served until 1909. One of his goals as mayor was to bring more development to Boise and to grow the city. He became Idaho's governor in 1912 and served until 1913. He died January 4th, 1917 in Boise.","Source: Idaho Statesman, Sunday Morning, May 22, 1949.",https://en.wikipedia.org/wiki/John_M._Haines
2564,8/21/2015 15:24,1909,1911,John T. Pence,"Joseph, or John Pence, was born near Ottumwa, Iowa on November 9, 1869. He earned a Bachelor of Arts at Parsons College at Fairfield, Iowa, and a Bachelor of Law degree in 1900 at Drake University in Des Moines, Iowa. Pence came to Boise in 1900 to practice law. In 1909 he was elected mayor of Boise and served until 1911. During his time as mayor, the city began to develop Julia Davis Park into a park.","Source: History of Idaho: Gem of the Mountains, Vol. II.",https://en.wikipedia.org/wiki/J._T._Pence
2565,8/21/2015 15:24,1911,1912,Harry Fritchman,"Harry Fritchman was born on February 10, 1865 in Westmoreland County, Pennsylvania. Fritchman came to Boise in 1909. According to an Idaho Daily Statesman article, Fritchman helped to develop Julia Davis Park. He also served on the park board.",Source: Idaho Statesman.,https://en.wikipedia.org/wiki/Harry_Fritchman
2567,8/21/2015 15:24,1912,1915,Arthur Hodges,"Arthur Hodges was born on March 14, 1865 in Benton County, Oregon. Hodges spent much of his time in Oregon, including growing up in Prineville. He attended the Corvallis State Agricultural College in 1882 and graduated from the Columbia College in Portland in 1884. Hodges held several political offices in Oregon, including being elected mayor of Prineville in 1888. Hodges moved to Boise in 1907, where he was elected mayor in 1912, serving until 1915. Afterwards, he helped to create the Boise Motor Car Company.","Source: History of Central Oregon By F.A. Shaver and History of Idaho: Gem of the Mountains, Vol II.",https://en.wikipedia.org/wiki/Arthur_Hodges_(mayor)
2568,8/21/2015 15:24,1915,1916,J.W. Robinson,"Jeremiah Robinson was born near Owensboro, Kentucky on July 18, 1860. Robinson traveled around the West, studying law and working as a banker. He came to Boise in 1890, and in 1891 became the chief clerk in the United States Assay office. In 1915 he was elected mayor, where he drove out, ""the saloons, the gambling houses and the slot machines."" He also tried to wipe out the red light district. He was recalled after 14 months in office.","Source: History of Idaho: Gem of the Mountains, Vol. II.",https://en.wikipedia.org/wiki/J._W._Robinson_(Boise_mayor)
2569,8/21/2015 15:24,1916,1919,S.H. Hays,"Samuel Hays was born in Juneau, Wisconsin on May 18, 1864. Hays was on the Boise City Council from 1894-1895. He was the Attorney General of Idaho in 1898, and oversaw the martial law enacted in response to the mining riots in Coeur D'Alene. In 1916, Hays was elected mayor of Boise, and served until 1919.","Source: History of Idaho, Vol. III.",https://en.wikipedia.org/wiki/S._H._Hays
2570,8/21/2015 15:24,1919,1921,Ernest G. Eagleson,"Ernest George Eagleson was born on January 13, 1864, in Cadiz, Ohio and came to Boise in 1891, where he became mayor from 1919 to 1921, and again from 1925-1927. He was the City Engineer of Boise for eight years. Eagleson also became the chief engineer of construction for the New York Canal. He was also involved with the creation of Arrowrock Dam and the reservoir.","Source: History of Idaho: Gem of the Mountains,Vol. II.",https://en.wikipedia.org/wiki/Ernest_G._Eagleson
2571,8/21/2015 15:24,1921,1925,Eugene B. Sherman,"Before coming to Boise in 1909, Eugene Sherman was a teacher and superintendent in Nebraska. In Boise he opened a lumber business, and was elected mayor in 1921 and served until 1925. After living in Boise for approximately 15 years, he moved to California and entered real estate.",Source: Idaho Daily Statesman.,https://en.wikipedia.org/wiki/Eugene_B._Sherman
2572,8/21/2015 15:24,1925,1927,Ernest G. Eagleson,"Ernest George Eagleson was born on January 13, 1864, in Cadiz, Ohio and came to Boise in 1891, where he became mayor from 1919 to 1921, and again from 1925-1927. He was the City Engineer of Boise for eight years. Eagleson also became the chief engineer of construction for the New York Canal. He was also involved with the creation of Arrowrock Dam and the reservoir.","Source: History of Idaho: Gem of the Mountains,Vol. II.",https://en.wikipedia.org/wiki/Ernest_G._Eagleson
2573,8/21/2015 15:24,1927,1927,Herbert F. Lemp,"Herbert Lemp was born in Boise on June 24, 1884. Before being elected mayor of Boise, Lemp served as director of the Pacific National Bank of Boise, the Idaho State Life Insurance Company and the Boise Stone Company. He had a corporate presence in Boise. When Lemp was elected he was wildly popular. In May 1927, Lemp received a head injury from a polo accident. He was sworn in as mayor the next day in the hospital, but he ended up passing away after only a few days.",Source: The Idaho Statesman and History of Idaho: Gem of theMountains.,https://en.wikipedia.org/wiki/Herbert_F._Lemp
2574,8/21/2015 15:24,1927,1929,Walter Hansen,"Walter Hansen was president of the City Council while Herbert Lemp was mayor. When Lemp died days after being sworn into office, Hansen became mayor in his place, completing Lemp's term.","Source: ""Mayors of Boise City, Idaho-1867 to 1943.""",https://en.wikipedia.org/wiki/Walter_F._Hansen
2575,8/21/2015 15:24,1929,1933,J.P. Pope,"James Pope was born near Jonesboro, Louisiana on March 31, 1884. He graduated from the University of Chicago in 1909 and began practicing law in Boise. He became the city attorney of Boise from 1916-1917, and the assistant attorney general of Idaho from 1918-1919, while Moses Alexander was governor. He was elected mayor of Boise in 1929 and served until 1933 when he resigned due to an election to Congress. He served in the United States Senate from 1933 until 1939. He was then appointed by President Franklin D. Roosevelt as director of the Tennessee Valley Authority, and served in that position from 1939 to 1951.","Source: ""James P. Pope, Senator from Idaho,"" Idaho Yesterdays, Fall 1971.",https://en.wikipedia.org/wiki/James_P._Pope
2576,8/21/2015 15:24,1933,1935,J. J. McCue ,"John J. McCue was born in Buffalo, New York on May 14, 1875. McCue served variously as a lawyer, banker, and accountant throughout his life. When he came to Idaho in 1909 he was practicing law. McCue served as the city attorney of Boise during Mayor Ern G. Eagleson's administration. He was elected mayor in 1933 and served until 1935. He died two months after his service as mayor ended.",Source: The Idaho Daily Statesman.,https://en.wikipedia.org/wiki/J._J._McCue
2577,8/21/2015 15:24,1933,1933,Ross Cady,"Ross Cady was born on October 29, 1884. He moved to Boise in 1918, where he became manager of the Idaho Laundry. He was elected to the Boise City Council in 1927, and again in 1929 for a four year term. He served as the president of the council. Cady became mayor of Boise in 1933, serving from February 15th to May 1st, 1933. He served such a short time because he replaced J.P. Pope when he resigned to become a U.S. Senator, and Cady did not get reelected .","Sources: Idaho: The Place and Its People, A History of This Gem State From Prehistoric to Present Days.",https://en.wikipedia.org/wiki/Ross_Cady
2578,8/21/2015 15:24,1935,1936,Byron E. Hyatt ,"In 1935, Byron Hyatt was elected mayor of Boise. Before becoming mayor, Hyatt was the chief clerk in the Secretary of State's office, and head of the bureau of public accounts from 1923-1930. Hyatt died while in office of pneumonia and heart complications in November 1936.",Source: The Idaho Statesman.,https://en.wikipedia.org/wiki/Byron_E._Hyatt
2579,8/21/2015 15:24,1936,1939,J.L. Edlefsen ,"James Edlefsen was born at Ovid, Idaho, on July 19, 1874. Edlefsen worked on the Oregon Short Line Railroad in Pocatello, and later for the Studebaker Brothers Company. He was elected mayor of Boise in 1936, and served until 1939.","Source: History of Idaho: Gem of the Mountains,Vol. II Photo courtesy of the Idaho State Historical Society",https://en.wikipedia.org/wiki/J._L._Edlefsen
2580,8/21/2015 15:24,1939,1941,James L. Straight ,"James Straight was born in Boise, Idaho on January 31, 1909. His family had lived in Boise since 1865. Straight was elected mayor in 1939 and served until 1941. His election was surprising for many reasons; Straight was only 30 years old, making him the youngest man to become mayor of Boise, and he defeated incumbent Mayor J.L. Edlefsen. During his term, the first parking meters were installed in the city, and he brought the policy to place streetnames at intersections to Boise. He died in 1981.",Source: The Idaho Statesman.,https://en.wikipedia.org/wiki/James_L._Straight
2581,8/21/2015 15:24,1941,1942,H. Westerman Whillock,"Wes' Whillock was born in Humansville, Missouri in 1904. In 1931 he established a retail business in Boise called Arbuckle, King and Whillock. He was elected mayor in 1941, but quickly resigned because he was called into active duty in the Navy for WWII. One of the accomplishments that has been attributed to him was to encourage the airport to move to its current location. Whillock was appointed in 1946 after Sam Griffin resigned. In 1949 Whillock started the radio station KDSH, later called KBOI. He alsofounded the KBOI-TV station in 1953. Richard Eardley, mayor of Boise from 1974-1986 worked at KBOI-TV under Whillock as a news director until Eardley became Mayor.","Source: The Idaho Statesman and ""Personal and Family History"" by Merrill Beal and Merle Wells.",https://en.wikipedia.org/wiki/H._W._Whillock
2582,8/21/2015 15:24,1942,1945,Austin Walker,"Austin Walker was born in Gary, Minnesota on January 5, 1883. He came to Boise in 1900. Walker operated the Walker Drug Company. He served on the Boise City Council from 1937 to 1942, and was elected council president in 1941. When Mayor Westerman Whillock resigned because he was called to active duty in the Navy, Walker was appointed to finish Whillock's term. Walker was re-elected in 1943. His term dealt with many repercussions of WWII, including an increasing population in Boise, and expansion of Gown Field. Walker passed away during his term, and Sam Griffin was appointed to finish his term.",Source: The Idaho Statesman.,https://en.wikipedia.org/wiki/Austin_Walker
2583,8/21/2015 15:24,1945,1946,Sam S. Griffin ,"Samuel Griffin was born in Tekamah, Nebraska, on January 3rd, 1892. He became mayor in 1945 and served until 1946. In addition to being mayor, Griffin was a lawyer, educated at the University of Nebraska. He lived at 1915 N. 17th St. in Boise. Griffin served on the Boise City Council as president, and when Austin Walker passed away during his term as mayor, Griffin was appointed to serve. When Griffin resigned, Westerman Whillock was appointed mayor.",Source: Who's Who for Idaho.,https://en.wikipedia.org/wiki/Sam_S._Griffin
2585,8/21/2015 15:24,1946,1947,H. Westerman Whillock,"Wes' Whillock was born in Humansville, Missouri in 1904. In 1931 he established a retail business in Boise called Arbuckle, King and Whillock. He was elected mayor in 1941, but quickly resigned because he was called into active duty in the Navy for WWII. One of the accomplishments that has been attributed to him was to encourage the airport to move to its current location. Whillock was appointed in 1946 after Sam Griffin resigned. In 1949 Whillock started the radio station KDSH, later called KBOI. He alsofounded the KBOI-TV station in 1953. Richard Eardley, mayor of Boise from 1974-1986 worked at KBOI-TV under Whillock as a news director until Eardley became Mayor.","Source: The Idaho Statesman and ""Personal and Family History"" by Merrill Beal and Merle Wells.",https://en.wikipedia.org/wiki/H._W._Whillock
2586,8/21/2015 15:24,1947,1951,Potter P. Howard,"Potter Howard was born in Sydney, Nebraska on October 4, 1892. He attended the University of Nebraska to study pharmacy and chemistry. Howard was a pharmacist in Nebraska for two years, while also owning a large ranch. He came to Idaho in 1924, and became mayor of Boise in 1947 and served until 1951.",Source: The Idaho Statesman and Who's Who for Idaho.,https://en.wikipedia.org/wiki/Potter_P._Howard
2587,8/21/2015 15:24,1951,1959,R.E. Edlefsen,"Russell Elmer Edlefsen was born September 30th, 1906, in Preston, Idaho. He was the son of James L. Edlefsen, who was the mayor of Boise from 1936 to 1939. Russell Edlefsen worked for the Idaho Highway Department, where he took a leave of absence to serve as mayor, and continued to work for them after his public service. He served as mayor from 1951-1959.","Source: Obituary from the Albertson Library, Special Collections Department, Boise State University.",https://en.wikipedia.org/wiki/R._E._Edlefsen
2588,8/21/2015 15:24,1959,1961,Robert L. Day,"Robert L. Day was born in 1920, and became mayor of Boise from 1959 to 1961. When he took office, Boise had a population below 35,000. During Day's time in office, Boise had a charter that restricted its ability to annex, and during his time in office that charter was abandoned. He also assisted in implementing one-way streets in downtown. During Day's administration the Bench Sewer District's infrastructure was modernized. He died in 1999, at the age of 79.",Source: The Idaho Daily Statesman.,https://en.wikipedia.org/wiki/Robert_L._Day
2589,8/21/2015 15:24,1961,1965,Eugene W. Shellworth,"Eugene Shellworth was elected Mayor in 1961 and served until 1965. The Capitol City Development Corporation, a redevelopment agency, was formed by the City Council in 1965. Prior to being elected, Mayor Shellworth owned a sawmill and was a salesman. After his term in office, Shellworth worked as a public relations officer, a state safety inspector, an insurance salesman, and  abank security guard.",Source: Idaho Daily Statesman.,https://en.wikipedia.org/wiki/Eugene_W._Shellworth
2590,8/21/2015 15:24,1966,1974,Jay S. Amyx,Jay Amyx was elected mayor in 1966 and served until 1974. His term in office was marked by the beginning of the urban renewal era in Boise. Many of the buildings torn down in redevelopment occurred during his time in office. ,Photo courtesy of the Idaho State Historical Society.,https://en.wikipedia.org/wiki/Jay_S._Amyx
2591,8/21/2015 15:24,1974,1986,Richard R. Eardley,"Richard Eardley moved here in 1955 when he received a job at the Idaho Statesman, then called the Idaho Daily Statesman. In 1970 he was elected to the Boise City Council, where he served until 1974. In 1974 he was elected mayor of Boise. He served until 1986, a total of 12 years, making him the longest serving mayor of Boise to this day. Some of the events and issues during his time in office included: the first section of the Greenbelt was completed, the Boise City Arts Commission was created, and the Boise City Historic Preservation Plan was approved. Redevelopment of the downtown was another issue during his time, as well as the major recession Boise experienced in the early 1980s.","Source: Oral History Interview with Richard Eardley, September 16, 2009.",https://en.wikipedia.org/wiki/Richard_Eardley
2592,8/21/2015 15:24,1986,1993,Dirk A. Kempthorne,"Dirk Kempthorne was born in San Diego, California and graduated from the University of Idaho with a political science degree. He was elected mayor of Boise in 1986 and served until 1993. His administration dealt primarily with the revitalization of downtown. The downtown began to be rebuilt, and its economic situation began to improve. Kempthorne ran for a Senate seat in 1992 and was elected. After his time on the Senate, Kempthorne became the governor of Idaho.",Source: The Idaho Statesman.,https://en.wikipedia.org/wiki/Dirk_Kempthorne
2593,8/21/2015 15:24,1993,2003,H. Brent Coles ,"Brent Coles was elected mayor in 1993. Before his election he served 10 years on the Boise City Council. He emphasized regional cooperation, a comprehensive transportation system with rail, and fighting drug abuse. Coles resigned in February 2003 due to controversy.",Source: The Idaho Statesman.,https://en.wikipedia.org/wiki/H._Brent_Coles
2594,8/21/2015 15:24,2003,2003,Carolyn Terteling Payne,"Carolyn Terteling-Payne was appointed as Mayor in 2003 when Brent Coles resigned. Prior to her appointment she had served on the Boise City Council since 1993. She received the nickname""Velvet Hammer"" while dealing with the Coles' controversy.",Source: The Idaho Statesman.,https://en.wikipedia.org/wiki/Carolyn_Terteling-Payne
2596,8/21/2015 15:24,2004,2015,David H. Bieter ,"David Bieter was elected mayor in 2004, and is serving to this day. He has supported the creation of new libraries, sustainability and alternative transportation, and many other programs and initiatives.",Source: The Idaho Statesman.,https://en.wikipedia.org/wiki/David_H._Bieter
